City,Temp(F),Wind(mph),Humidity(%),Cloudiness(%),Latitude,Longitude
vila franca do campo,57.94,3.36,82,75,37.72,-25.43
labuhan,81.63,2.89,89,32,-2.54,115.51
verkhnetulomskiy,24.8,8.95,92,75,68.61,31.8
qaanaaq,-11.25,2.77,89,24,77.48,-69.36
khatanga,-8.24,10.45,79,56,71.98,102.47
port elizabeth,37.62,8.05,93,90,39.31,-74.98
jamestown,82.08,17.2,43,32,-33.21,138.6
hithadhoo,83.7,5.86,100,0,-0.6,73.08
hobart,71.04,12.75,38,75,-42.88,147.33
bilibino,-0.63,2.28,72,0,68.06,166.44
port alfred,64.98,5.99,87,92,-33.59,26.89
ushuaia,57.2,9.17,76,40,-54.81,-68.31
punta arenas,51.35,8.05,76,75,-53.16,-70.91
mount gambier,64.4,11.41,82,90,-37.83,140.78
pevek,-12.56,0.31,78,12,69.7,170.27
las matas de farfan,63.54,2.62,94,20,18.87,-71.52
narsaq,24.8,1.12,58,75,60.91,-46.05
chokurdakh,-3.51,3.74,75,56,70.62,147.9
bredasdorp,65.55,14.99,82,92,-34.53,20.04
puerto narino,77.0,2.51,100,75,-3.77,-70.38
itapirapua,69.89,5.3,85,24,-15.82,-50.61
puerto madryn,66.15,18.61,60,0,-42.77,-65.04
bluff,95.72,8.43,30,8,-23.58,149.07
butaritari,78.66,5.75,100,68,3.07,172.79
rio grande,70.7,14.85,93,92,-32.03,-52.1
saskylakh,-3.87,11.39,76,80,71.97,114.09
sechura,73.8,3.29,89,24,-5.56,-80.82
mar del plata,46.22,3.22,100,8,-46.43,-67.52
albany,28.26,3.36,54,90,42.65,-73.75
laguna,60.39,2.28,48,92,27.52,-110.01
pirapemas,72.0,3.0,97,64,-3.73,-44.23
georgetown,77.76,7.14,75,88,6.8,-58.16
valparaiso,44.85,18.34,93,90,41.47,-87.06
maloy,89.55,2.51,50,80,1.0,118.1
paita,73.08,2.77,86,36,-5.09,-81.11
ornskoldsvik,19.4,9.17,79,24,63.29,18.72
mabaruma,77.13,6.35,85,92,8.2,-59.78
zhuanghe,35.01,1.99,97,12,39.7,122.97
choya,28.44,3.4,77,12,52.01,86.55
longyearbyen,6.8,3.36,65,40,78.22,15.63
airai,83.25,2.28,52,36,-8.93,125.41
nova soure,68.27,3.22,95,8,-11.24,-38.48
rio gallegos,51.8,5.82,66,0,-51.62,-69.22
saint-philippe,15.58,7.87,72,1,45.36,-73.48
sarahan,8.6,0.98,93,0,31.51,77.79
east london,66.2,6.93,100,90,-33.02,27.91
camacha,60.8,13.87,72,40,33.08,-16.33
new norfolk,71.04,12.75,38,75,-42.78,147.06
dikson,11.75,21.34,99,76,73.51,80.55
luderitz,60.12,15.19,79,0,-26.65,15.16
riyadh,57.2,3.36,33,0,24.63,46.72
viru,37.17,11.41,93,92,57.74,26.74
tasiilaq,19.4,3.36,44,24,65.61,-37.64
bathsheba,78.8,17.22,69,40,13.22,-59.52
killybegs,40.1,24.47,100,92,54.63,-8.45
santiago del estero,56.97,7.31,78,0,-27.8,-64.26
abu samrah,44.69,5.35,76,44,35.3,37.18
ribeira grande,61.74,10.38,95,80,38.52,-28.7
vao,33.62,6.8,96,92,59.1,26.19
upernavik,0.5,16.08,100,36,72.79,-56.15
jalu,51.17,2.89,53,0,29.03,21.55
tiksi,-9.18,3.78,65,0,71.64,128.87
hermanus,66.36,4.0,94,48,-34.42,19.24
shimanovsk,38.12,4.9,46,0,52.0,127.67
busselton,77.95,10.67,36,56,-33.64,115.35
saint-andre-avellin,20.14,20.8,41,90,45.72,-75.07
tezu,61.02,1.61,59,36,27.93,96.16
lebu,60.8,9.17,67,20,8.96,38.73
yellapur,86.0,8.05,23,0,14.96,74.71
maningrida,85.82,18.66,86,48,-12.05,134.23
naze,72.9,3.0,95,20,5.43,7.07
deputatskiy,-4.91,3.89,75,44,69.3,139.9
peniche,53.67,6.93,93,20,39.36,-9.38
bambous virieux,84.07,3.36,70,40,-20.34,57.76
hokitika,66.65,4.85,81,20,-42.72,170.96
mapiripan,69.62,2.73,94,8,2.89,-72.13
diego de almagro,56.57,0.54,92,8,-26.39,-70.05
kavieng,79.29,3.51,100,68,-2.57,150.8
lieksa,11.7,2.39,72,12,63.32,30.02
saint anthony,16.95,4.7,78,1,43.97,-111.68
takoradi,79.52,4.12,100,0,4.89,-1.75
ahipara,75.0,7.76,78,48,-35.17,173.16
lithakia,49.6,4.23,100,40,37.72,20.83
ambilobe,81.32,3.62,97,32,-13.19,49.05
kloulklubed,84.2,13.87,74,90,7.04,134.26
maba,53.91,3.0,100,92,24.68,113.59
zeya,28.44,3.0,57,76,53.74,127.27
margate,71.06,12.75,38,75,-43.03,147.26
waipawa,63.0,4.74,83,68,-39.94,176.59
roebourne,110.88,8.37,15,0,-20.77,117.15
karuri,60.4,6.93,77,40,-0.71,37.04
svetlaya,38.7,9.6,64,0,46.54,138.33
gat,65.88,12.84,52,0,14.69,-16.54
ponta do sol,67.14,2.84,90,48,-20.63,-46.0
victoria,87.01,4.7,62,75,5.28,115.24
sao joao da barra,82.85,19.44,97,0,-21.64,-41.05
roma,50.16,8.05,87,0,41.89,12.48
talcahuano,59.0,3.36,93,75,-36.72,-73.12
boguchany,22.95,8.37,45,0,58.38,97.46
mahebourg,84.07,3.36,70,40,-20.41,57.7
torbay,17.35,17.22,79,75,47.66,-52.73
nyurba,18.77,5.53,54,36,63.29,118.35
harlingen,72.84,12.75,94,90,26.19,-97.7
rocha,62.73,8.43,77,80,-34.48,-54.34
starobaltachevo,34.65,11.45,98,32,56.0,55.92
rantepao,79.02,2.06,74,32,-2.97,119.9
omsukchan,-2.21,3.0,64,56,62.53,155.8
ilulissat,12.2,6.93,72,64,69.22,-51.1
berlevag,24.3,12.95,100,76,70.86,29.09
salalah,82.4,17.22,13,0,17.01,54.1
bataipora,73.71,5.08,94,12,-22.3,-53.27
poum,42.8,6.93,81,0,41.28,20.71
andahuaylas,43.56,1.77,91,88,-13.66,-73.39
touros,77.76,7.09,96,68,-5.2,-35.46
zilupe,36.32,21.68,90,76,56.39,28.12
tuatapere,60.01,10.0,77,8,-46.13,167.69
sinnamary,79.29,12.68,94,80,5.38,-52.96
sainte-suzanne,51.42,17.22,93,90,47.51,6.77
cape town,64.49,3.36,72,20,-33.93,18.42
husavik,19.0,10.0,74,44,50.56,-96.99
talnakh,5.27,19.62,82,68,69.49,88.39
phek,69.89,2.89,47,48,25.7,94.46
sao filipe,69.89,16.87,98,0,14.9,-24.5
sol-iletsk,34.56,12.57,92,92,51.16,55.0
maralal,68.0,3.56,72,0,1.1,36.7
antofagasta,62.6,2.24,88,0,-23.65,-70.4
ust-tsilma,30.33,7.31,80,92,65.44,52.15
gondar,53.04,1.99,100,90,41.82,-8.78
souillac,53.06,18.34,93,90,45.6,-0.6
port lincoln,72.18,14.92,85,68,-34.72,135.86
kaitangata,58.68,20.56,77,24,-46.28,169.85
severo-kurilsk,26.91,16.31,100,32,50.68,156.12
trelew,61.34,11.34,24,0,-43.25,-65.31
muana,77.58,6.02,99,64,-1.53,-49.22
te anau,66.92,3.06,56,12,-45.41,167.72
maceio,73.4,4.7,83,0,-9.67,-35.74
alihe,41.31,7.09,29,0,50.57,123.73
lata,51.57,2.06,63,0,30.78,78.62
kruisfontein,64.67,14.81,96,100,-34.0,24.73
dakar,66.65,19.89,87,0,14.69,-17.45
kununurra,93.2,9.17,44,75,-15.77,128.74
